№з/п;Договір №;від;ЄДРПОУ контрагента;Назва контрагента;Предмет договору;Код CPV (розділ);Обсяг платежів, грн.
;;;;І.ТОВАРИ;;;
1;б/н;20.01.2014;30851408;"ПП ""АГРО-АДМІРАЛ""";Кран кульовий, кран КЗШс;42000000-6;126924.79
1;б/н;20.01.2014;30851408;"ПП ""АГРО-АДМІРАЛ""";Емаль, щітка по металу, різьба, теплоізоляція,цемент, хомути металеві та пластмасові;44000000-0;790616.57
1;б/н;20.01.2014;30851408;"ПП ""АГРО-АДМІРАЛ""";Круг відрізний, пісок, скло;14000000-1;82856.32
1;б/н;20.01.2014;30851408;"ПП ""АГРО-АДМІРАЛ""";Манометр;38000000-5;13303.20
1;б/н;20.01.2014;30851408;"ПП ""АГРО-АДМІРАЛ""";Резина маслостійка;19000000-6;812.40
1;б/н;20.01.2014;30851408;"ПП ""АГРО-АДМІРАЛ""";Дошка обрізна;03000000-1;17063.50
1;б/н;20.01.2014;30851408;"ПП ""АГРО-АДМІРАЛ""";Вазелін технічний;09000000-3;1357.02
1;б/н;20.01.2014;30851408;"ПП ""АГРО-АДМІРАЛ""";Вапно гашене, карбид;24000000-4;44530.71
1;б/н;20.01.2014;30851408;"ПП ""АГРО-АДМІРАЛ""";Електроди;31000000-6;29858.40
1;б/н;20.01.2014;30851408;"ПП ""АГРО-АДМІРАЛ""";Рукавиці;18000000-9;12713.28
1;б/н;20.01.2014;30851408;"ПП ""АГРО-АДМІРАЛ""";Герметик;39000000-2;3151.45
1;б/н;15.04.2016;30851408;"ПП ""АГРО-АДМІРАЛ""";Дошка обрізна;03000000-1;1831.63
1;б/н;15.04.2016;30851408;"ПП ""АГРО-АДМІРАЛ""";Емаль, щітка по металу, різьба, теплоізоляція,цемент;44000000-0;19830.89
1;б/н;15.04.2016;30851408;"ПП ""АГРО-АДМІРАЛ""";Електроди;31000000-6;261.00
1;б/н;15.04.2016;30851408;"ПП ""АГРО-АДМІРАЛ""";Круг відрізний, пісок, скло;14000000-1;445.20
1;б/н;15.04.2016;30851408;"ПП ""АГРО-АДМІРАЛ""";Вапно гашене, карбид;24000000-4;51265.69
1;43101;11.03.2016;;ФОП Чувашкин В.А.;Канцтовари;30000000-9;1355.00
1;42836;11.04.2016;21875464;"ТОВ ПП ""ЗІП""";Фарба фасадна, фарба для дорожної розмітки;44000000-0;44352.00
1;10959;24.03.2016;21875464;"ТОВ ПП ""ЗІП""";Фарба фасадна, фарба для дорожної розмітки;44000000-0;170028.00
1;б/н;;236010;"ПАТ ""Завод Фрунзе""";Сітка зварювальна оцінкована;44000000-0;2174.64
1;1/229;22.12.2016;;ФОП Яртим Л.А.;Пакля;19000000-6;15.26
1;1/229;22.12.2016;;ФОП Яртим Л.А.;Конструкційні матеріали;44000000-0;498.96
1;1/229;22.12.2016;;ФОП Яртим Л.А.;Фум рідкий;24000000-4;121.68
1;1/229;22.12.2016;;ФОП Яртим Л.А.;Сантехнічні матеріали;42000000-6;4108.30
1;б/н;12.08.2016;;ФОП Яртим Л.А.;Сантехнічні матеріали;42000000-6;2319.86
1;б/н;12.08.2016;;ФОП Яртим Л.А.;Набір сальників гумових, перехід гумовий;19000000-6;426.46
1;б/н;12.08.2016;;ФОП Яртим Л.А.;Конструкційні матеріали;44000000-0;35331.36
1;б/н;12.08.2016;;ФОП Яртим Л.А.;Лічильники, манометр;38000000-5;1743.60
1;б/н;12.08.2016;;ФОП Яртим Л.А.;Диск алмазний;14000000-1;1002.00
1;1/144;20.10.2016;32490244;"ТОВ ""Епіцентр К""";Інструмент;44000000-0;7716.90
1;1/144;20.10.2016;32490244;"ТОВ ""Епіцентр К""";Перфоратор, кутова шліфмашинка, бури;42000000-6;9529.56
1;1/144;20.10.2016;32490244;"ТОВ ""Епіцентр К""";Диск відризний;14000000-1;780.00
1;1/144;20.10.2016;32490244;"ТОВ ""Епіцентр К""";Спецодяг;18000000-9;28418.46
1;13150;15.04.2016;32490244;"ТОВ ""Епіцентр К""";Рукавиці;18000000-9;612.00
1;13150;15.04.2016;32490244;"ТОВ ""Епіцентр К""";Конструкційні матеріали;44000000-0;15023.35
1;1/166;29.11.2016;32490244;"ТОВ ""Епіцентр К""";Бензопилка ланцюгова, мініелектростанція;42000000-6;16746.96
1;б/н;;32490244;"ТОВ ""Епіцентр К""";Конструкційні матеріали;44000000-0;29494.15
1;б/н;;32490244;"ТОВ ""Епіцентр К""";Промислова техніка;42000000-6;11429.46
1;б/н;;32490244;"ТОВ ""Епіцентр К""";Меблі;39000000-2;9970.94
1;б/н;;32490244;"ТОВ ""Епіцентр К""";Бури;43000000-3;460.56
1;б/н;;32490244;"ТОВ ""Епіцентр К""";Офісна техніка;30000000-9;81.36
1;б/н;;32490244;"ТОВ ""Епіцентр К""";Хімічна продукція;24000000-4;2025.17
1;б/н;;32490244;"ТОВ ""Епіцентр К""";Щітка;34000000-7;591.54
1;б/н;;32490244;"ТОВ ""Епіцентр К""";Пуско-зарядний пристрій;31000000-6;3391.98
1;б/н;;32490244;"ТОВ ""Епіцентр К""";Килим гумовий;19000000-6;1003.77
1;б/н;;32490244;"ТОВ ""Епіцентр К""";Тачка садова;16000000-5;3595.92
1;б/н;;32490244;"ТОВ ""Епіцентр К""";Мультиметр;38000000-5;1500.00
1;96320;30.05.2016;22430008;"ТОВ ""Сандора""";Напої;15000000-8;50049.36
1;б/н;;35873496;"ТОВ ""Свіфт-Інвест""";Цемент, емаль;44000000-0;5506.39
1;б/н;;35873496;"ТОВ ""Свіфт-Інвест""";Пігмент;24000000-0;130.74
1;1/132;30.09.2016;39719577;"ТОВ ""Сінгулар""";Ємність горизонтальна;39000000-2;11005.00
1;б/н;;39719577;"ТОВ ""Сінгулар""";Пилосос, меблі;39000000-2;15270.00
1;б/н;;39719577;"ТОВ ""Сінгулар""";Допоміжна будівельна продукція;44000000-0;1580.00
1;1/131;30.09.2016;39719577;"ТОВ ""Сінгулар""";Промислова техніка (насос, фільтр, манометр);42000000-6;8352.60
1;1/131;30.09.2016;39719577;"ТОВ ""Сінгулар""";Допоміжна будівельна продукція;44000000-0;3339.00
1;43009;19.02.2016;25029312;"ПП ""Ефект""";Емаль, розчинник;44000000-0;16999.80
1;43009;19.02.2016;25029312;"ПП ""Ефект""";Рукавиці;18000000-9;510.00
1;43009;19.02.2016;25029312;"ПП ""Ефект""";Мітли;39000000-2;3252.00
1;43009;19.02.2016;25029312;"ПП ""Ефект""";Вапно гашене;24000000-4;288.00
1;б/н;;30170110;"ДП ""Еско-Одеса""";Перфоратор, шпиндель;42000000-6;15467.83
1;б/н;;30170110;"ДП ""Еско-Одеса""";Газонокосилка;16000000-5;8957.27
1;б/н;;30170110;"ДП ""Еско-Одеса""";Бури;43000000-3;5790.86
1;11689;29.03.2016;;ФОП Соколова К.А.;Табличка адресна;34400000-0;29956.50
1;б/н;;;ФОП Стулій Т.В.;Свердла, саморізи, шайби;44000000-0;479.00
1;50;01.01.2016;32334104;"ПП ""Таврія-1""";Канцтовари;30000000-9;615.40
1;50;01.01.2016;32334104;"ПП ""Таврія-1""";Молоко;03000000-1;30071.06
1;50;01.01.2016;32334104;"ПП ""Таврія-1""";Побутова техніка;39000000-2;1186.80
1;44/16;22.03.2016;34943074;"ПП ""Тедекс Мастила Україна""";Масла, олива;09000000-3;91771.44
1;б/н;;22887660;"ТОВ ""Техприлад НВП""";Лічильник ;38000000-5;10004.95
1;б/н;;22485297;Укрпошта УДППЗ;Конверти;30000000-9;3176.00
1;б/н;;;ФОП Чуча С.М.;Електротехнічні матеріали;31000000-6;280.00
1;б/н;;;ФОП Чуча С.М.;Болти;44000000-0;285.00
1;б/н;;;ФОП Чуча С.М.;Нафтопродукти;09000000-3;1845.00
1;б/н;;;ФОП Чуча С.М.;Герметик;39000000-2;130.00
1;б/н;;;ФОП Чуча С.М.;Автозапчастини;34000000-7;39327.00
1;б/н;;;ФОП Федюкович О.О.;Пігмент;24000000-4;3375.00
1;б/н;;;ФОП Юрчак А.М.;Мотокоса;34000000-7;7725.00
1;б/н;;30646438;"ПП ""Штампсервіс""";Печатка, штамп;30000000-9;4386.00
1;1/197;12.12.2016;;ФОП Ященко В.В.;Мусорник, лавочки;44000000-0;17910.00
1;б/н;;;ФОП Хаджиміті О.Я.;Автозапчастини;34000000-7;29084.00
1;1/106;08.08.2016;35507391;"ТОВ ""Гранд Болівар""";Фонтан світлодіодний;31000000-6;142800.00
1;1/162;25.11.2016;;ФОП Гриценко І.М.;Мітли, віники;39000000-2;36000.00
1;б/н;;;ФОП Гриценко І.М.;Мітли, віники;39000000-2;29000.00
1;б/н;;;ФОП Деркач В.М.;Альгіцид;24000000-4;1429.47
1;б/н;;;ФОП Гур'єв А.А.;Навігатор;34000000-7;5000.00
1;44197;11.03.2016;31209837;"ТОВ ""Дніпропром""";Знаки дорожні;34000000-7;6565.15
1;17168;17.05.2016;31209837;"ТОВ ""Дніпропром""";Знаки дорожні;34000000-7;6396.00
1;19360;02.06.2016;31209837;"ТОВ ""Дніпропром""";Знаки дорожні;34000000-7;675.59
1;33970;11.07.2016;31209837;"ТОВ ""Дніпропром""";Знаки дорожні;34000000-7;15654.65
1;1/105;08.08.2016;31209837;"ТОВ ""Дніпропром""";Знаки дорожні;34000000-7;35561.92
1;1/139;17.10.2016;31209837;"ТОВ ""Дніпропром""";Знаки дорожні;34000000-7;44530.90
1;1/159;22.11.2016;31209837;"ТОВ ""Дніпропром""";Знаки дорожні;34000000-7;7268.28
1;1/228;27.12.2016;31209837;"ТОВ ""Дніпропром""";Знаки дорожні;34000000-7;49329.65
1;1/212;12.12.2016;38567757;"ТОВ ""Електроноф""";Паяльна станція;42000000-6;3785.94
1;42491;10.03.2016;24533971;"ПП ""Екотех ВКФ""";Система зворотнього осмосу;42000000-6;4844.00
1;14977;22.04.2016;;ФОП Єрмошенко В.М.;Пляжеприбиральна машина;43000000-3;249950.00
1;б/н;;38574319;"ТОВ ""Технотрастсервіс""";Фільтр патронний;42000000-6;349.00
1;б/н;;38574319;"ТОВ ""Технотрастсервіс""";Долото списоподібне;44000000-0;914.00
1;55;11.01.2016;38017560;"ТОВ ""Стімпекс Компанія"" ";Рукавиці;18000000-9;1627.38
